field,pair,k,overlap,jaccard,intersection
ai_component,A_vs_B,5,0.4,0.25,2
ai_component,A_vs_B,10,0.5,0.333333,5
ai_component,A_vs_B,15,0.6,0.428571,9
ai_component,A_vs_B,25,0.68,0.515152,17
ai_component,A_vs_B,35,0.628571,0.458333,22
ai_component,A_vs_B,50,0.6,0.428571,30
ai_component,A_vs_B,75,0.6,0.428571,30
ai_component,A_vs_B,100,0.6,0.428571,30
ai_component,A_vs_C,5,0.2,0.111111,1
ai_component,A_vs_C,10,0.1,0.052632,1
ai_component,A_vs_C,15,0.266667,0.153846,4
ai_component,A_vs_C,25,0.36,0.219512,9
ai_component,A_vs_C,35,0.428571,0.272727,15
ai_component,A_vs_C,50,0.44,0.282051,22
ai_component,A_vs_C,75,0.44,0.282051,22
ai_component,A_vs_C,100,0.44,0.282051,22
ai_component,B_vs_C,5,0.2,0.111111,1
ai_component,B_vs_C,10,0.2,0.111111,2
ai_component,B_vs_C,15,0.333333,0.2,5
ai_component,B_vs_C,25,0.4,0.25,10
ai_component,B_vs_C,35,0.4,0.25,14
ai_component,B_vs_C,50,0.34,0.204819,17
ai_component,B_vs_C,75,0.34,0.204819,17
ai_component,B_vs_C,100,0.34,0.204819,17
