field,pair,k,overlap,jaccard,intersection
ai_component,A_vs_D,5,0.2,0.111111,1
ai_component,A_vs_D,10,0.1,0.052632,1
ai_component,A_vs_D,15,0.333333,0.2,5
ai_component,A_vs_D,25,0.32,0.190476,8
ai_component,A_vs_D,35,0.342857,0.206897,12
ai_component,A_vs_D,50,0.38,0.234568,19
ai_component,A_vs_D,75,0.48,0.237624,24
ai_component,A_vs_D,100,0.54,0.219512,27
ai_component,B_vs_D,5,0.0,0.0,0
ai_component,B_vs_D,10,0.1,0.052632,1
ai_component,B_vs_D,15,0.333333,0.2,5
ai_component,B_vs_D,25,0.28,0.162791,7
ai_component,B_vs_D,35,0.314286,0.186441,11
ai_component,B_vs_D,50,0.28,0.162791,14
ai_component,B_vs_D,75,0.36,0.168224,18
ai_component,B_vs_D,100,0.44,0.171875,22
ai_component,C_vs_D,5,0.4,0.25,2
ai_component,C_vs_D,10,0.6,0.428571,6
ai_component,C_vs_D,15,0.533333,0.363636,8
ai_component,C_vs_D,25,0.64,0.470588,16
ai_component,C_vs_D,35,0.6,0.428571,21
ai_component,C_vs_D,50,0.66,0.492537,33
ai_component,C_vs_D,75,0.74,0.420455,37
ai_component,C_vs_D,100,0.84,0.388889,42
use_case,A_vs_D,5,0.4,0.25,2
use_case,A_vs_D,10,0.2,0.111111,2
use_case,A_vs_D,15,0.266667,0.153846,4
use_case,A_vs_D,25,0.2,0.111111,5
use_case,A_vs_D,35,0.2,0.111111,7
use_case,A_vs_D,50,0.24,0.136364,12
use_case,A_vs_D,75,0.34,0.157407,17
use_case,A_vs_D,100,0.38,0.145038,19
use_case,B_vs_D,5,0.4,0.25,2
use_case,B_vs_D,10,0.2,0.111111,2
use_case,B_vs_D,15,0.2,0.111111,3
use_case,B_vs_D,25,0.2,0.111111,5
use_case,B_vs_D,35,0.171429,0.09375,6
use_case,B_vs_D,50,0.2,0.111111,10
use_case,B_vs_D,75,0.32,0.146789,16
use_case,B_vs_D,100,0.38,0.145038,19
use_case,C_vs_D,5,0.8,0.666667,4
use_case,C_vs_D,10,0.5,0.333333,5
use_case,C_vs_D,15,0.733333,0.578947,11
use_case,C_vs_D,25,0.64,0.470588,16
use_case,C_vs_D,35,0.628571,0.458333,22
use_case,C_vs_D,50,0.7,0.538462,35
use_case,C_vs_D,75,0.86,0.52439,43
use_case,C_vs_D,100,0.94,0.456311,47
