field,pair,k,overlap,jaccard,intersection
ai_component,A_vs_E,5,0.2,0.111111,1
ai_component,A_vs_E,10,0.3,0.176471,3
ai_component,A_vs_E,15,0.466667,0.304348,7
ai_component,A_vs_E,25,0.36,0.219512,9
ai_component,A_vs_E,35,0.371429,0.22807,13
ai_component,A_vs_E,50,0.36,0.219512,18
ai_component,A_vs_E,75,0.36,0.219512,27
ai_component,A_vs_E,100,0.36,0.219512,36
ai_component,B_vs_E,5,0.4,0.25,2
ai_component,B_vs_E,10,0.3,0.176471,3
ai_component,B_vs_E,15,0.533333,0.363636,8
ai_component,B_vs_E,25,0.48,0.315789,12
ai_component,B_vs_E,35,0.371429,0.22807,13
ai_component,B_vs_E,50,0.36,0.219512,18
ai_component,B_vs_E,75,0.36,0.219512,27
ai_component,B_vs_E,100,0.4,0.25,40
ai_component,C_vs_E,5,0.4,0.25,2
ai_component,C_vs_E,10,0.4,0.25,4
ai_component,C_vs_E,15,0.6,0.428571,9
ai_component,C_vs_E,25,0.44,0.282051,11
ai_component,C_vs_E,35,0.571429,0.4,20
ai_component,C_vs_E,50,0.56,0.388889,28
ai_component,C_vs_E,75,0.586667,0.415094,44
ai_component,C_vs_E,100,0.57,0.398601,57
ai_component,D_vs_E,5,0.4,0.25,2
ai_component,D_vs_E,10,0.4,0.25,4
ai_component,D_vs_E,15,0.666667,0.5,10
ai_component,D_vs_E,25,0.56,0.388889,14
ai_component,D_vs_E,35,0.542857,0.372549,19
ai_component,D_vs_E,50,0.62,0.449275,31
ai_component,D_vs_E,75,0.586667,0.415094,44
ai_component,D_vs_E,100,0.6,0.428571,60
use_case,A_vs_E,5,0.0,0.0,0
use_case,A_vs_E,10,0.2,0.111111,2
use_case,A_vs_E,15,0.266667,0.153846,4
use_case,A_vs_E,25,0.32,0.190476,8
use_case,A_vs_E,35,0.257143,0.147541,9
use_case,A_vs_E,50,0.28,0.162791,14
use_case,A_vs_E,75,0.28,0.162791,21
use_case,A_vs_E,100,0.28,0.162791,28
use_case,B_vs_E,5,0.4,0.25,2
use_case,B_vs_E,10,0.2,0.111111,2
use_case,B_vs_E,15,0.133333,0.071429,2
use_case,B_vs_E,25,0.24,0.136364,6
use_case,B_vs_E,35,0.342857,0.206897,12
use_case,B_vs_E,50,0.32,0.190476,16
use_case,B_vs_E,75,0.36,0.219512,27
use_case,B_vs_E,100,0.33,0.197605,33
use_case,C_vs_E,5,0.6,0.428571,3
use_case,C_vs_E,10,0.6,0.428571,6
use_case,C_vs_E,15,0.6,0.428571,9
use_case,C_vs_E,25,0.48,0.315789,12
use_case,C_vs_E,35,0.485714,0.320755,17
use_case,C_vs_E,50,0.5,0.333333,25
use_case,C_vs_E,75,0.546667,0.376147,41
use_case,C_vs_E,100,0.54,0.369863,54
use_case,D_vs_E,5,0.6,0.428571,3
use_case,D_vs_E,10,0.6,0.428571,6
use_case,D_vs_E,15,0.6,0.428571,9
use_case,D_vs_E,25,0.56,0.388889,14
use_case,D_vs_E,35,0.542857,0.372549,19
use_case,D_vs_E,50,0.62,0.449275,31
use_case,D_vs_E,75,0.56,0.388889,42
use_case,D_vs_E,100,0.5,0.333333,50
