field,pair,k,overlap,jaccard,intersection
use_case,A_vs_B,5,0.4,0.25,2
use_case,A_vs_B,10,0.7,0.538462,7
use_case,A_vs_B,15,0.6,0.428571,9
use_case,A_vs_B,25,0.6,0.428571,15
use_case,A_vs_B,35,0.6,0.428571,21
use_case,A_vs_B,50,0.56,0.388889,28
use_case,A_vs_B,75,0.56,0.388889,28
use_case,A_vs_B,100,0.56,0.388889,28
use_case,A_vs_C,5,0.6,0.428571,3
use_case,A_vs_C,10,0.3,0.176471,3
use_case,A_vs_C,15,0.266667,0.153846,4
use_case,A_vs_C,25,0.2,0.111111,5
use_case,A_vs_C,35,0.257143,0.147541,9
use_case,A_vs_C,50,0.28,0.162791,14
use_case,A_vs_C,75,0.28,0.162791,14
use_case,A_vs_C,100,0.28,0.162791,14
use_case,B_vs_C,5,0.4,0.25,2
use_case,B_vs_C,10,0.3,0.176471,3
use_case,B_vs_C,15,0.266667,0.153846,4
use_case,B_vs_C,25,0.2,0.111111,5
use_case,B_vs_C,35,0.228571,0.129032,8
use_case,B_vs_C,50,0.22,0.123596,11
use_case,B_vs_C,75,0.22,0.123596,11
use_case,B_vs_C,100,0.22,0.123596,11
